"Teacher Quality"
3/17/2022

Year,Level,Division,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",DIV,"Suffolk City Public Schools","Low Poverty","Non-Title I",1.4,0.9,0
"2020 - 2021",DIV,"Surry County Public Schools","All Schools","All Schools",1.1,5.4,0
"2020 - 2021",DIV,"Surry County Public Schools","All Schools","Non-Title I",2.7,8.1,0
"2020 - 2021",DIV,"Surry County Public Schools","All Schools","Title I",0,3.6,0
"2020 - 2021",DIV,"Sussex County Public Schools","All Schools","All Schools",4.6,4.6,0
"2020 - 2021",DIV,"Sussex County Public Schools","All Schools","Non-Title I",4.8,4.8,0
"2020 - 2021",DIV,"Sussex County Public Schools","All Schools","Title I",4.5,4.5,0
"2020 - 2021",DIV,"Sussex County Public Schools","High Poverty","All Schools",4.6,4.6,0
"2020 - 2021",DIV,"Sussex County Public Schools","High Poverty","Non-Title I",4.8,4.8,0
"2020 - 2021",DIV,"Sussex County Public Schools","High Poverty","Title I",4.5,4.5,0
"2020 - 2021",DIV,"Tazewell County Public Schools","All Schools","All Schools",4.8,5,1.1
"2020 - 2021",DIV,"Tazewell County Public Schools","All Schools","Non-Title I",4.7,6.6,0.8
"2020 - 2021",DIV,"Tazewell County Public Schools","All Schools","Title I",5.1,2.8,1.7
"2020 - 2021",DIV,"Tazewell County Public Schools","High Poverty","All Schools",5.4,2.7,1.4
"2020 - 2021",DIV,"Tazewell County Public Schools","High Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Tazewell County Public Schools","High Poverty","Title I",7.4,3.7,1.9
"2020 - 2021",DIV,"Virginia Beach City Public Schools","All Schools","All Schools",4.7,0.9,0.2
"2020 - 2021",DIV,"Virginia Beach City Public Schools","All Schools","Non-Title I",4.6,1,0.2
"2020 - 2021",DIV,"Virginia Beach City Public Schools","All Schools","Title I",5.3,0.3,0
"2020 - 2021",DIV,"Virginia Beach City Public Schools","High Poverty","All Schools",5.5,0.4,0
"2020 - 2021",DIV,"Virginia Beach City Public Schools","High Poverty","Non-Title I",5.8,0,0
"2020 - 2021",DIV,"Virginia Beach City Public Schools","High Poverty","Title I",5.4,0.5,0
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Low Poverty","All Schools",3.2,0.5,0.2
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Low Poverty","Non-Title I",3.2,0.5,0.2
"2020 - 2021",DIV,"Virginia School for the Deaf and Blind-Staunton","All Schools","All Schools",16.1,28.6,3.6
"2020 - 2021",DIV,"Virginia School for the Deaf and Blind-Staunton","All Schools","Non-Title I",16.1,28.6,3.6
"2020 - 2021",DIV,"Warren County Public Schools","All Schools","All Schools",5.2,1.1,0
"2020 - 2021",DIV,"Warren County Public Schools","All Schools","Non-Title I",3.6,1.7,0
"2020 - 2021",DIV,"Warren County Public Schools","All Schools","Title I",7.9,0,0
"2020 - 2021",DIV,"Warren County Public Schools","High Poverty","All Schools",16.7,0,0
"2020 - 2021",DIV,"Warren County Public Schools","High Poverty","Title I",16.7,0,0
"2020 - 2021",DIV,"Washington County Public Schools","All Schools","All Schools",2.1,1.8,0.3
"2020 - 2021",DIV,"Washington County Public Schools","All Schools","Non-Title I",2.2,2.5,0.3
"2020 - 2021",DIV,"Washington County Public Schools","All Schools","Title I",1.9,0.7,0.4
"2020 - 2021",DIV,"Washington County Public Schools","High Poverty","All Schools",0,0,0
"2020 - 2021",DIV,"Washington County Public Schools","High Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Waynesboro City Public Schools","All Schools","All Schools",7,1.7,0.4
"2020 - 2021",DIV,"Waynesboro City Public Schools","All Schools","Non-Title I",5.4,2.2,0.5
"2020 - 2021",DIV,"Waynesboro City Public Schools","All Schools","Title I",12.5,0,0
"2020 - 2021",DIV,"Waynesboro City Public Schools","High Poverty","All Schools",10.8,0,0
"2020 - 2021",DIV,"Waynesboro City Public Schools","High Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Waynesboro City Public Schools","High Poverty","Title I",12.5,0,0
"2020 - 2021",DIV,"West Point Public Schools","All Schools","All Schools",1.4,14.3,1.4
"2020 - 2021",DIV,"West Point Public Schools","All Schools","Non-Title I",2.4,24.4,2.4
"2020 - 2021",DIV,"West Point Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"West Point Public Schools","Low Poverty","All Schools",2.4,24.4,2.4
"2020 - 2021",DIV,"West Point Public Schools","Low Poverty","Non-Title I",2.4,24.4,2.4
"2020 - 2021",DIV,"Westmoreland County Public Schools","All Schools","All Schools",2.1,6.3,0
"2020 - 2021",DIV,"Westmoreland County Public Schools","All Schools","Non-Title I",2.7,8,0
"2020 - 2021",DIV,"Westmoreland County Public Schools","All Schools","Title I",1.4,4.3,0
"2020 - 2021",DIV,"Westmoreland County Public Schools","High Poverty","All Schools",1.8,6.4,0
"2020 - 2021",DIV,"Westmoreland County Public Schools","High Poverty","Non-Title I",2.7,8,0
"2020 - 2021",DIV,"Westmoreland County Public Schools","High Poverty","Title I",0,2.9,0
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","All Schools","All Schools",1,0.3,0
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","All Schools","Non-Title I",1.4,0.4,0
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","All Schools","Title I",0.2,0.2,0
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Low Poverty","All Schools",1.4,0.3,0
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Low Poverty","Non-Title I",1.4,0.3,0
"2020 - 2021",DIV,"Winchester City Public Schools","All Schools","All Schools",3.1,5.3,1
"2020 - 2021",DIV,"Winchester City Public Schools","All Schools","Non-Title I",1.7,6.1,0.9
"2020 - 2021",DIV,"Winchester City Public Schools","All Schools","Title I",4.9,4.3,1.2
"2020 - 2021",DIV,"Winchester City Public Schools","High Poverty","All Schools",4.9,4.3,1.2
"2020 - 2021",DIV,"Winchester City Public Schools","High Poverty","Title I",4.9,4.3,1.2
"2020 - 2021",DIV,"Wise County Public Schools","All Schools","All Schools",5.7,0,0
"2020 - 2021",DIV,"Wise County Public Schools","All Schools","Non-Title I",5.6,0,0
"2020 - 2021",DIV,"Wise County Public Schools","All Schools","Title I",5.8,0,0
"2020 - 2021",DIV,"Wise County Public Schools","High Poverty","All Schools",5.7,0,0
"2020 - 2021",DIV,"Wise County Public Schools","High Poverty","Non-Title I",5.6,0,0
"2020 - 2021",DIV,"Wise County Public Schools","High Poverty","Title I",5.8,0,0
"2020 - 2021",DIV,"Wythe County Public Schools","All Schools","All Schools",4.4,4.7,1.2
"2020 - 2021",DIV,"Wythe County Public Schools","All Schools","Non-Title I",4,7.5,2
"2020 - 2021",DIV,"Wythe County Public Schools","All Schools","Title I",4.9,0.7,0
"2020 - 2021",DIV,"York County Public Schools","All Schools","All Schools",0.6,2.8,0.1
"2020 - 2021",DIV,"York County Public Schools","All Schools","Non-Title I",0.8,3,0.1
"2020 - 2021",DIV,"York County Public Schools","All Schools","Title I",0,1.3,0
"2020 - 2021",DIV,"York County Public Schools","Low Poverty","All Schools",0.6,3.1,0.1
"2020 - 2021",DIV,"York County Public Schools","Low Poverty","Non-Title I",0.6,3.1,0.1
