"Standards of Accreditation (SOA) Offenses Data"
3/17/2022

Year,Level,Division,Type,Count
"2020 - 2021",DIV,"Tazewell County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",44
"2020 - 2021",DIV,"Tazewell County Public Schools","Disorderly or Disruptive Behavior Offenses",10
"2020 - 2021",DIV,"Tazewell County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Tazewell County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Tazewell County Public Schools","Other Offenses Against Persons",28
"2020 - 2021",DIV,"Tazewell County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Tazewell County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Tazewell County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",158
"2020 - 2021",DIV,"Virginia Beach City Public Schools","All Other Offenses",92
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Disorderly or Disruptive Behavior Offenses",590
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Offenses Against Staff",28
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Offenses Against Student",57
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Other Offenses Against Persons",679
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Property Offenses ",17
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Technology Offenses",39
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Weapons Offenses",52
"2020 - 2021",DIV,"Warren County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",14
"2020 - 2021",DIV,"Warren County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Warren County Public Schools","Disorderly or Disruptive Behavior Offenses",44
"2020 - 2021",DIV,"Warren County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Warren County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Warren County Public Schools","Other Offenses Against Persons",26
"2020 - 2021",DIV,"Warren County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Warren County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Washington County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",28
"2020 - 2021",DIV,"Washington County Public Schools","Disorderly or Disruptive Behavior Offenses",15
"2020 - 2021",DIV,"Washington County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Washington County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Washington County Public Schools","Other Offenses Against Persons",15
"2020 - 2021",DIV,"Washington County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Washington County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Washington County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Waynesboro City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"West Point Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"West Point Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"West Point Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"West Point Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"West Point Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"West Point Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Westmoreland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Westmoreland County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",18
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Disorderly or Disruptive Behavior Offenses",24
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Offenses Against Student",14
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Other Offenses Against Persons",33
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Winchester City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",11
"2020 - 2021",DIV,"Winchester City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Winchester City Public Schools","Disorderly or Disruptive Behavior Offenses",47
"2020 - 2021",DIV,"Winchester City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Winchester City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Winchester City Public Schools","Other Offenses Against Persons",12
"2020 - 2021",DIV,"Winchester City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Winchester City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Wise County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",39
"2020 - 2021",DIV,"Wise County Public Schools","Disorderly or Disruptive Behavior Offenses",25
"2020 - 2021",DIV,"Wise County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Wise County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Wise County Public Schools","Other Offenses Against Persons",37
"2020 - 2021",DIV,"Wise County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Wythe County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",26
"2020 - 2021",DIV,"Wythe County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Wythe County Public Schools","Disorderly or Disruptive Behavior Offenses",45
"2020 - 2021",DIV,"Wythe County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Wythe County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"York County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",11
"2020 - 2021",DIV,"York County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"York County Public Schools","Disorderly or Disruptive Behavior Offenses",39
"2020 - 2021",DIV,"York County Public Schools","Offenses Against Staff",12
"2020 - 2021",DIV,"York County Public Schools","Offenses Against Student",26
"2020 - 2021",DIV,"York County Public Schools","Other Offenses Against Persons",37
"2020 - 2021",DIV,"York County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"York County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"York County Public Schools","Weapons Offenses",<
