"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2019 - 2020",DIV,"Essex County Public Schools","Advanced Placement Test Taken Preliminary Results",7,1.65
"2019 - 2020",DIV,"Essex County Public Schools","Advanced Placement course enrollment",8,1.88
"2019 - 2020",DIV,"Essex County Public Schools","Dual Enrollment enrollment",63,14.82
"2019 - 2020",DIV,"Essex County Public Schools","Governors School enrollment",24,5.65
"2019 - 2020",DIV,"Fairfax County Public Schools","Advanced Placement Test Taken Preliminary Results",15976,26.7
"2019 - 2020",DIV,"Fairfax County Public Schools","Advanced Placement course enrollment",17058,28.51
"2019 - 2020",DIV,"Fairfax County Public Schools","Dual Enrollment enrollment",3439,5.75
"2019 - 2020",DIV,"Fairfax County Public Schools","Governors School enrollment",1815,3.03
"2019 - 2020",DIV,"Fairfax County Public Schools","IB Course enrollment",6350,10.61
"2019 - 2020",DIV,"Fairfax County Public Schools","IB Exam Taken",3617,6.04
"2019 - 2020",DIV,"Fairfax County Public Schools","Seniors enrolled in IB Program",598,1
"2019 - 2020",DIV,"Falls Church City Public Schools","Advanced Placement Test Taken Preliminary Results",290,34.32
"2019 - 2020",DIV,"Falls Church City Public Schools","Advanced Placement course enrollment",290,34.32
"2019 - 2020",DIV,"Falls Church City Public Schools","Dual Enrollment enrollment",5,.59
"2019 - 2020",DIV,"Falls Church City Public Schools","IB Course enrollment",390,46.15
"2019 - 2020",DIV,"Falls Church City Public Schools","IB Exam Taken",390,46.15
"2019 - 2020",DIV,"Falls Church City Public Schools","Seniors enrolled in IB Program",42,4.97
"2019 - 2020",DIV,"Fauquier County Public Schools","Advanced Placement Test Taken Preliminary Results",703,18.47
"2019 - 2020",DIV,"Fauquier County Public Schools","Advanced Placement course enrollment",1208,31.73
"2019 - 2020",DIV,"Fauquier County Public Schools","Dual Enrollment enrollment",1054,27.69
"2019 - 2020",DIV,"Fauquier County Public Schools","Governors School enrollment",70,1.84
"2019 - 2020",DIV,"Floyd County Public Schools","Advanced Placement Test Taken Preliminary Results",36,5.7
"2019 - 2020",DIV,"Floyd County Public Schools","Advanced Placement course enrollment",46,7.28
"2019 - 2020",DIV,"Floyd County Public Schools","Dual Enrollment enrollment",144,22.78
"2019 - 2020",DIV,"Fluvanna County Public Schools","Advanced Placement Test Taken Preliminary Results",124,10.43
"2019 - 2020",DIV,"Fluvanna County Public Schools","Advanced Placement course enrollment",124,10.43
"2019 - 2020",DIV,"Fluvanna County Public Schools","Dual Enrollment enrollment",248,20.86
"2019 - 2020",DIV,"Fluvanna County Public Schools","Governors School enrollment",137,11.52
"2019 - 2020",DIV,"Franklin City Public Schools","Dual Enrollment enrollment",22,7.56
"2019 - 2020",DIV,"Franklin City Public Schools","Governors School enrollment",4,1.37
"2019 - 2020",DIV,"Franklin County Public Schools","Advanced Placement Test Taken Preliminary Results",125,6.08
"2019 - 2020",DIV,"Franklin County Public Schools","Advanced Placement course enrollment",168,8.17
"2019 - 2020",DIV,"Franklin County Public Schools","Dual Enrollment enrollment",306,14.88
"2019 - 2020",DIV,"Franklin County Public Schools","Governors School enrollment",29,1.41
"2019 - 2020",DIV,"Frederick County Public Schools","Advanced Placement Test Taken Preliminary Results",330,7.63
"2019 - 2020",DIV,"Frederick County Public Schools","Advanced Placement course enrollment",1029,23.79
"2019 - 2020",DIV,"Frederick County Public Schools","Dual Enrollment enrollment",767,17.73
"2019 - 2020",DIV,"Frederick County Public Schools","Governors School enrollment",55,1.27
"2019 - 2020",DIV,"Fredericksburg City Public Schools","Advanced Placement Test Taken Preliminary Results",140,13.81
"2019 - 2020",DIV,"Fredericksburg City Public Schools","Advanced Placement course enrollment",175,17.26
"2019 - 2020",DIV,"Fredericksburg City Public Schools","Dual Enrollment enrollment",31,3.06
"2019 - 2020",DIV,"Fredericksburg City Public Schools","IB Course enrollment",2,.2
"2019 - 2020",DIV,"Galax City Public Schools","Advanced Placement Test Taken Preliminary Results",7,2.07
"2019 - 2020",DIV,"Galax City Public Schools","Advanced Placement course enrollment",7,2.07
"2019 - 2020",DIV,"Galax City Public Schools","Dual Enrollment enrollment",66,19.53
"2019 - 2020",DIV,"Galax City Public Schools","Governors School enrollment",8,2.37
"2019 - 2020",DIV,"Giles County Public Schools","Dual Enrollment enrollment",248,33.42
"2019 - 2020",DIV,"Giles County Public Schools","Governors School enrollment",20,2.7
"2019 - 2020",DIV,"Gloucester County Public Schools","Advanced Placement Test Taken Preliminary Results",51,3.02
"2019 - 2020",DIV,"Gloucester County Public Schools","Advanced Placement course enrollment",126,7.46
"2019 - 2020",DIV,"Gloucester County Public Schools","Dual Enrollment enrollment",298,17.64
"2019 - 2020",DIV,"Gloucester County Public Schools","Governors School enrollment",28,1.66
"2019 - 2020",DIV,"Goochland County Public Schools","Advanced Placement Test Taken Preliminary Results",134,16.11
"2019 - 2020",DIV,"Goochland County Public Schools","Advanced Placement course enrollment",258,31.01
"2019 - 2020",DIV,"Goochland County Public Schools","Dual Enrollment enrollment",145,17.43
"2019 - 2020",DIV,"Goochland County Public Schools","Governors School enrollment",29,3.49
"2019 - 2020",DIV,"Grayson County Public Schools","Dual Enrollment enrollment",151,32.54
"2019 - 2020",DIV,"Greene County Public Schools","Advanced Placement Test Taken Preliminary Results",87,9.18
"2019 - 2020",DIV,"Greene County Public Schools","Advanced Placement course enrollment",118,12.45
"2019 - 2020",DIV,"Greene County Public Schools","Dual Enrollment enrollment",236,24.89
"2019 - 2020",DIV,"Greensville County Public Schools","Dual Enrollment enrollment",169,26.78
"2019 - 2020",DIV,"Greensville County Public Schools","Governors School enrollment",16,2.54
"2019 - 2020",DIV,"Halifax County Public Schools","Advanced Placement course enrollment",212,14.46
"2019 - 2020",DIV,"Halifax County Public Schools","Dual Enrollment enrollment",394,26.88
"2019 - 2020",DIV,"Hampton City Public Schools","Advanced Placement Test Taken Preliminary Results",271,4.6
"2019 - 2020",DIV,"Hampton City Public Schools","Advanced Placement course enrollment",1229,20.87
"2019 - 2020",DIV,"Hampton City Public Schools","Dual Enrollment enrollment",228,3.87
"2019 - 2020",DIV,"Hampton City Public Schools","Governors School enrollment",21,.36
"2019 - 2020",DIV,"Hampton City Public Schools","IB Course enrollment",115,1.95
"2019 - 2020",DIV,"Hampton City Public Schools","Seniors enrolled in IB Program",4,.07
"2019 - 2020",DIV,"Hanover County Public Schools","Advanced Placement Test Taken Preliminary Results",763,13.15
"2019 - 2020",DIV,"Hanover County Public Schools","Advanced Placement course enrollment",1818,31.33
"2019 - 2020",DIV,"Hanover County Public Schools","Dual Enrollment enrollment",274,4.72
"2019 - 2020",DIV,"Hanover County Public Schools","Governors School enrollment",52,.9
"2019 - 2020",DIV,"Hanover County Public Schools","IB Course enrollment",522,9
"2019 - 2020",DIV,"Hanover County Public Schools","IB Exam Taken",4,.07
"2019 - 2020",DIV,"Hanover County Public Schools","Seniors enrolled in IB Program",124,2.14
"2019 - 2020",DIV,"Harrisonburg City Public Schools","Advanced Placement Test Taken Preliminary Results",294,15.59
"2019 - 2020",DIV,"Harrisonburg City Public Schools","Advanced Placement course enrollment",346,18.35
"2019 - 2020",DIV,"Harrisonburg City Public Schools","Dual Enrollment enrollment",244,12.94
"2019 - 2020",DIV,"Henrico County Public Schools","Advanced Placement Test Taken Preliminary Results",1996,12.51
"2019 - 2020",DIV,"Henrico County Public Schools","Advanced Placement course enrollment",4275,26.8
"2019 - 2020",DIV,"Henrico County Public Schools","Dual Enrollment enrollment",590,3.7
"2019 - 2020",DIV,"Henrico County Public Schools","Governors School enrollment",181,1.13
"2019 - 2020",DIV,"Henrico County Public Schools","IB Course enrollment",489,3.07
"2019 - 2020",DIV,"Henrico County Public Schools","IB Exam Taken",47,.29
"2019 - 2020",DIV,"Henrico County Public Schools","Seniors enrolled in IB Program",137,.86
"2019 - 2020",DIV,"Henry County Public Schools","Advanced Placement Test Taken Preliminary Results",221,10.02
"2019 - 2020",DIV,"Henry County Public Schools","Advanced Placement course enrollment",539,24.44
"2019 - 2020",DIV,"Henry County Public Schools","Dual Enrollment enrollment",449,20.36
"2019 - 2020",DIV,"Henry County Public Schools","Governors School enrollment",44,2
"2019 - 2020",DIV,"Highland County Public Schools","Advanced Placement Test Taken Preliminary Results",6,8.96
"2019 - 2020",DIV,"Highland County Public Schools","Advanced Placement course enrollment",9,13.43
"2019 - 2020",DIV,"Highland County Public Schools","Dual Enrollment enrollment",4,5.97
"2019 - 2020",DIV,"Hopewell City Public Schools","Dual Enrollment enrollment",96,8.3
"2019 - 2020",DIV,"Hopewell City Public Schools","Governors School enrollment",23,1.99
"2019 - 2020",DIV,"Isle of Wight County Public Schools","Advanced Placement Test Taken Preliminary Results",188,10.51
"2019 - 2020",DIV,"Isle of Wight County Public Schools","Advanced Placement course enrollment",207,11.57
"2019 - 2020",DIV,"Isle of Wight County Public Schools","Dual Enrollment enrollment",347,19.4
"2019 - 2020",DIV,"Isle of Wight County Public Schools","Governors School enrollment",48,2.68
"2019 - 2020",DIV,"King George County Public Schools","Advanced Placement Test Taken Preliminary Results",172,12.59
"2019 - 2020",DIV,"King George County Public Schools","Advanced Placement course enrollment",274,20.06
"2019 - 2020",DIV,"King George County Public Schools","Dual Enrollment enrollment",145,10.61
"2019 - 2020",DIV,"King George County Public Schools","Governors School enrollment",96,7.03
"2019 - 2020",DIV,"King William County Public Schools","Advanced Placement Test Taken Preliminary Results",37,5.05
"2019 - 2020",DIV,"King William County Public Schools","Advanced Placement course enrollment",53,7.23
"2019 - 2020",DIV,"King William County Public Schools","Dual Enrollment enrollment",105,14.32
"2019 - 2020",DIV,"King William County Public Schools","Governors School enrollment",19,2.59
"2019 - 2020",DIV,"King and Queen County Public Schools","Dual Enrollment enrollment",7,4.05
"2019 - 2020",DIV,"King and Queen County Public Schools","Governors School enrollment",12,6.94
"2019 - 2020",DIV,"Lancaster County Public Schools","Dual Enrollment enrollment",56,15.14
"2019 - 2020",DIV,"Lancaster County Public Schools","Governors School enrollment",14,3.78
"2019 - 2020",DIV,"Lee County Public Schools","Dual Enrollment enrollment",150,16.52
"2019 - 2020",DIV,"Loudoun County Public Schools","Advanced Placement Test Taken Preliminary Results",2578,9.75
"2019 - 2020",DIV,"Loudoun County Public Schools","Advanced Placement course enrollment",10500,39.73
"2019 - 2020",DIV,"Loudoun County Public Schools","Dual Enrollment enrollment",5619,21.26
"2019 - 2020",DIV,"Louisa County Public Schools","Advanced Placement Test Taken Preliminary Results",30,2.01
"2019 - 2020",DIV,"Louisa County Public Schools","Advanced Placement course enrollment",169,11.3
"2019 - 2020",DIV,"Louisa County Public Schools","Dual Enrollment enrollment",273,18.26
"2019 - 2020",DIV,"Louisa County Public Schools","Governors School enrollment",107,7.16
"2019 - 2020",DIV,"Lunenburg County Public Schools","Advanced Placement Test Taken Preliminary Results",16,3.52
"2019 - 2020",DIV,"Lunenburg County Public Schools","Advanced Placement course enrollment",21,4.63
"2019 - 2020",DIV,"Lunenburg County Public Schools","Dual Enrollment enrollment",37,8.15
"2019 - 2020",DIV,"Lunenburg County Public Schools","Governors School enrollment",15,3.3
"2019 - 2020",DIV,"Lynchburg City Public Schools","Advanced Placement Test Taken Preliminary Results",179,7.29
"2019 - 2020",DIV,"Lynchburg City Public Schools","Advanced Placement course enrollment",179,7.29
"2019 - 2020",DIV,"Lynchburg City Public Schools","Dual Enrollment enrollment",134,5.46
"2019 - 2020",DIV,"Lynchburg City Public Schools","Governors School enrollment",42,1.71
"2019 - 2020",DIV,"Madison County Public Schools","Advanced Placement Test Taken Preliminary Results",50,9.26
"2019 - 2020",DIV,"Madison County Public Schools","Advanced Placement course enrollment",50,9.26
"2019 - 2020",DIV,"Madison County Public Schools","Dual Enrollment enrollment",98,18.15
"2019 - 2020",DIV,"Madison County Public Schools","Governors School enrollment",63,11.67
"2019 - 2020",DIV,"Manassas City Public Schools","Advanced Placement Test Taken Preliminary Results",305,13.72
"2019 - 2020",DIV,"Manassas City Public Schools","Advanced Placement course enrollment",329,14.8
"2019 - 2020",DIV,"Manassas City Public Schools","Dual Enrollment enrollment",351,15.79
"2019 - 2020",DIV,"Manassas City Public Schools","Governors School enrollment",13,.58
"2019 - 2020",DIV,"Manassas Park City Public Schools","Advanced Placement Test Taken Preliminary Results",38,3.41
"2019 - 2020",DIV,"Manassas Park City Public Schools","Advanced Placement course enrollment",208,18.69
"2019 - 2020",DIV,"Manassas Park City Public Schools","Dual Enrollment enrollment",45,4.04
"2019 - 2020",DIV,"Martinsville City Public Schools","Advanced Placement course enrollment",134,24.28
"2019 - 2020",DIV,"Martinsville City Public Schools","Dual Enrollment enrollment",96,17.39
"2019 - 2020",DIV,"Martinsville City Public Schools","Governors School enrollment",18,3.26
"2019 - 2020",DIV,"Mathews County Public Schools","Advanced Placement course enrollment",23,6.97
"2019 - 2020",DIV,"Mathews County Public Schools","Dual Enrollment enrollment",53,16.06
"2019 - 2020",DIV,"Mathews County Public Schools","Governors School enrollment",14,4.24
"2019 - 2020",DIV,"Mecklenburg County Public Schools","Dual Enrollment enrollment",301,23.7
"2019 - 2020",DIV,"Middlesex County Public Schools","Dual Enrollment enrollment",73,20.51
"2019 - 2020",DIV,"Middlesex County Public Schools","Governors School enrollment",24,6.74
"2019 - 2020",DIV,"Montgomery County Public Schools","Advanced Placement Test Taken Preliminary Results",638,21.43
"2019 - 2020",DIV,"Montgomery County Public Schools","Advanced Placement course enrollment",755,25.36
"2019 - 2020",DIV,"Montgomery County Public Schools","Dual Enrollment enrollment",880,29.56
"2019 - 2020",DIV,"Montgomery County Public Schools","Governors School enrollment",20,.67
"2019 - 2020",DIV,"Nelson County Public Schools","Advanced Placement Test Taken Preliminary Results",12,2.09
"2019 - 2020",DIV,"Nelson County Public Schools","Advanced Placement course enrollment",69,12.02
"2019 - 2020",DIV,"Nelson County Public Schools","Dual Enrollment enrollment",82,14.29
"2019 - 2020",DIV,"New Kent County Public Schools","Advanced Placement Test Taken Preliminary Results",36,3.6
"2019 - 2020",DIV,"New Kent County Public Schools","Advanced Placement course enrollment",39,3.9
"2019 - 2020",DIV,"New Kent County Public Schools","Dual Enrollment enrollment",108,10.79
"2019 - 2020",DIV,"New Kent County Public Schools","Governors School enrollment",24,2.4
"2019 - 2020",DIV,"Newport News City Public Schools","Advanced Placement Test Taken Preliminary Results",1538,19.96
"2019 - 2020",DIV,"Newport News City Public Schools","Advanced Placement course enrollment",2091,27.13
"2019 - 2020",DIV,"Newport News City Public Schools","Dual Enrollment enrollment",311,4.04
"2019 - 2020",DIV,"Newport News City Public Schools","Governors School enrollment",19,.25
"2019 - 2020",DIV,"Newport News City Public Schools","IB Course enrollment",131,1.7
"2019 - 2020",DIV,"Newport News City Public Schools","Seniors enrolled in IB Program",62,.8
"2019 - 2020",DIV,"Norfolk City Public Schools","Advanced Placement Test Taken Preliminary Results",1576,20.94
"2019 - 2020",DIV,"Norfolk City Public Schools","Advanced Placement course enrollment",1940,25.78
"2019 - 2020",DIV,"Norfolk City Public Schools","Dual Enrollment enrollment",133,1.77
"2019 - 2020",DIV,"Norfolk City Public Schools","Governors School enrollment",56,.74
"2019 - 2020",DIV,"Norfolk City Public Schools","IB Course enrollment",103,1.37
"2019 - 2020",DIV,"Norfolk City Public Schools","IB Exam Taken",97,1.29
"2019 - 2020",DIV,"Norfolk City Public Schools","Seniors enrolled in IB Program",48,.64
"2019 - 2020",DIV,"Northampton County Public Schools","Advanced Placement course enrollment",17,3.89
"2019 - 2020",DIV,"Northampton County Public Schools","Dual Enrollment enrollment",28,6.41
"2019 - 2020",DIV,"Northumberland County Public Schools","Advanced Placement Test Taken Preliminary Results",6,1.46
"2019 - 2020",DIV,"Northumberland County Public Schools","Advanced Placement course enrollment",12,2.93
"2019 - 2020",DIV,"Northumberland County Public Schools","Dual Enrollment enrollment",236,57.56
"2019 - 2020",DIV,"Northumberland County Public Schools","Governors School enrollment",26,6.34
"2019 - 2020",DIV,"Norton City Public Schools","Advanced Placement course enrollment",24,9.34
"2019 - 2020",DIV,"Norton City Public Schools","Dual Enrollment enrollment",77,29.96
"2019 - 2020",DIV,"Nottoway County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.17
"2019 - 2020",DIV,"Nottoway County Public Schools","Advanced Placement course enrollment",1,.17
"2019 - 2020",DIV,"Nottoway County Public Schools","Dual Enrollment enrollment",113,18.83
"2019 - 2020",DIV,"Nottoway County Public Schools","Governors School enrollment",19,3.17
"2019 - 2020",DIV,"Orange County Public Schools","Advanced Placement Test Taken Preliminary Results",185,12.37
"2019 - 2020",DIV,"Orange County Public Schools","Advanced Placement course enrollment",257,17.18
"2019 - 2020",DIV,"Orange County Public Schools","Dual Enrollment enrollment",122,8.16
"2019 - 2020",DIV,"Orange County Public Schools","Governors School enrollment",130,8.69
"2019 - 2020",DIV,"Page County Public Schools","Advanced Placement Test Taken Preliminary Results",4,.37
"2019 - 2020",DIV,"Page County Public Schools","Advanced Placement course enrollment",5,.46
"2019 - 2020",DIV,"Page County Public Schools","Dual Enrollment enrollment",246,22.53
"2019 - 2020",DIV,"Page County Public Schools","Governors School enrollment",11,1.01
"2019 - 2020",DIV,"Patrick County Public Schools","Advanced Placement Test Taken Preliminary Results",7,1.03
"2019 - 2020",DIV,"Patrick County Public Schools","Advanced Placement course enrollment",6,.88
"2019 - 2020",DIV,"Patrick County Public Schools","Dual Enrollment enrollment",100,14.68
"2019 - 2020",DIV,"Petersburg City Public Schools","Advanced Placement Test Taken Preliminary Results",1,.11
"2019 - 2020",DIV,"Petersburg City Public Schools","Advanced Placement course enrollment",48,5.05
"2019 - 2020",DIV,"Petersburg City Public Schools","Dual Enrollment enrollment",0,0
"2019 - 2020",DIV,"Petersburg City Public Schools","Governors School enrollment",74,7.79
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",69,2.49
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Advanced Placement course enrollment",236,8.53
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Dual Enrollment enrollment",868,31.36
"2019 - 2020",DIV,"Pittsylvania County Public Schools","Governors School enrollment",54,1.95
"2019 - 2020",DIV,"Poquoson City Public Schools","Advanced Placement Test Taken Preliminary Results",97,13.7
"2019 - 2020",DIV,"Poquoson City Public Schools","Advanced Placement course enrollment",159,22.46
"2019 - 2020",DIV,"Poquoson City Public Schools","Dual Enrollment enrollment",66,9.32
"2019 - 2020",DIV,"Poquoson City Public Schools","Governors School enrollment",11,1.55
"2019 - 2020",DIV,"Portsmouth City Public Schools","Advanced Placement Test Taken Preliminary Results",138,3.66
"2019 - 2020",DIV,"Portsmouth City Public Schools","Advanced Placement course enrollment",182,4.83
"2019 - 2020",DIV,"Portsmouth City Public Schools","Dual Enrollment enrollment",227,6.03
"2019 - 2020",DIV,"Portsmouth City Public Schools","Governors School enrollment",24,.64
"2019 - 2020",DIV,"Powhatan County Public Schools","Advanced Placement Test Taken Preliminary Results",299,21.18
"2019 - 2020",DIV,"Powhatan County Public Schools","Advanced Placement course enrollment",373,26.42
"2019 - 2020",DIV,"Powhatan County Public Schools","Dual Enrollment enrollment",61,4.32
"2019 - 2020",DIV,"Powhatan County Public Schools","Governors School enrollment",23,1.63
"2019 - 2020",DIV,"Prince Edward County Public Schools","Advanced Placement course enrollment",24,3.93
"2019 - 2020",DIV,"Prince Edward County Public Schools","Dual Enrollment enrollment",131,21.48
"2019 - 2020",DIV,"Prince Edward County Public Schools","Governors School enrollment",12,1.97
"2019 - 2020",DIV,"Prince George County Public Schools","Dual Enrollment enrollment",160,8.96
"2019 - 2020",DIV,"Prince George County Public Schools","Governors School enrollment",25,1.4
"2019 - 2020",DIV,"Prince William County Public Schools","Advanced Placement Test Taken Preliminary Results",5859,20.4
"2019 - 2020",DIV,"Prince William County Public Schools","Advanced Placement course enrollment",6167,21.48
"2019 - 2020",DIV,"Prince William County Public Schools","Dual Enrollment enrollment",2076,7.23
"2019 - 2020",DIV,"Prince William County Public Schools","Governors School enrollment",100,.35
"2019 - 2020",DIV,"Prince William County Public Schools","IB Course enrollment",797,2.78
"2019 - 2020",DIV,"Prince William County Public Schools","IB Exam Taken",409,1.42
"2019 - 2020",DIV,"Prince William County Public Schools","Seniors enrolled in IB Program",49,.17
"2019 - 2020",DIV,"Pulaski County Public Schools","Advanced Placement Test Taken Preliminary Results",88,7.33
"2019 - 2020",DIV,"Pulaski County Public Schools","Advanced Placement course enrollment",164,13.67
"2019 - 2020",DIV,"Pulaski County Public Schools","Dual Enrollment enrollment",248,20.67
"2019 - 2020",DIV,"Pulaski County Public Schools","Governors School enrollment",10,.83
"2019 - 2020",DIV,"Radford City Public Schools","Dual Enrollment enrollment",77,15.49
"2019 - 2020",DIV,"Radford City Public Schools","Governors School enrollment",6,1.21
"2019 - 2020",DIV,"Rappahannock County Public Schools","Advanced Placement Test Taken Preliminary Results",34,13.77
"2019 - 2020",DIV,"Rappahannock County Public Schools","Advanced Placement course enrollment",40,16.19
"2019 - 2020",DIV,"Rappahannock County Public Schools","Dual Enrollment enrollment",60,24.29
"2019 - 2020",DIV,"Richmond City Public Schools","Advanced Placement Test Taken Preliminary Results",513,8.73
"2019 - 2020",DIV,"Richmond City Public Schools","Advanced Placement course enrollment",583,9.92
"2019 - 2020",DIV,"Richmond City Public Schools","Dual Enrollment enrollment",104,1.77
"2019 - 2020",DIV,"Richmond City Public Schools","Governors School enrollment",283,4.81
"2019 - 2020",DIV,"Richmond City Public Schools","Seniors enrolled in IB Program",1,.02
"2019 - 2020",DIV,"Richmond County Public Schools","Advanced Placement Test Taken Preliminary Results",18,4.63
"2019 - 2020",DIV,"Richmond County Public Schools","Advanced Placement course enrollment",31,7.97
"2019 - 2020",DIV,"Richmond County Public Schools","Dual Enrollment enrollment",160,41.13
"2019 - 2020",DIV,"Richmond County Public Schools","Governors School enrollment",21,5.4
"2019 - 2020",DIV,"Roanoke City Public Schools","Advanced Placement Test Taken Preliminary Results",494,13.41
"2019 - 2020",DIV,"Roanoke City Public Schools","Advanced Placement course enrollment",670,18.18
"2019 - 2020",DIV,"Roanoke City Public Schools","Dual Enrollment enrollment",410,11.13
"2019 - 2020",DIV,"Roanoke City Public Schools","Governors School enrollment",134,3.64
"2019 - 2020",DIV,"Roanoke County Public Schools","Advanced Placement Test Taken Preliminary Results",310,7
"2019 - 2020",DIV,"Roanoke County Public Schools","Advanced Placement course enrollment",1280,28.92
"2019 - 2020",DIV,"Roanoke County Public Schools","Dual Enrollment enrollment",910,20.56
"2019 - 2020",DIV,"Roanoke County Public Schools","Governors School enrollment",50,1.13
"2019 - 2020",DIV,"Rockbridge County Public Schools","Advanced Placement Test Taken Preliminary Results",57,5.68
"2019 - 2020",DIV,"Rockbridge County Public Schools","Advanced Placement course enrollment",65,6.48
"2019 - 2020",DIV,"Rockbridge County Public Schools","Dual Enrollment enrollment",243,24.23
"2019 - 2020",DIV,"Rockingham County Public Schools","Advanced Placement Test Taken Preliminary Results",268,7.31
"2019 - 2020",DIV,"Rockingham County Public Schools","Advanced Placement course enrollment",419,11.43
"2019 - 2020",DIV,"Rockingham County Public Schools","Dual Enrollment enrollment",171,4.66
"2019 - 2020",DIV,"Rockingham County Public Schools","Governors School enrollment",14,.38
"2019 - 2020",DIV,"Russell County Public Schools","Dual Enrollment enrollment",281,24.85
"2019 - 2020",DIV,"Salem City Public Schools","Advanced Placement Test Taken Preliminary Results",184,14.68
"2019 - 2020",DIV,"Salem City Public Schools","Advanced Placement course enrollment",188,15
"2019 - 2020",DIV,"Salem City Public Schools","Dual Enrollment enrollment",493,39.35
"2019 - 2020",DIV,"Salem City Public Schools","IB Course enrollment",318,25.38
"2019 - 2020",DIV,"Salem City Public Schools","IB Exam Taken",122,9.74
"2019 - 2020",DIV,"Salem City Public Schools","Seniors enrolled in IB Program",5,.4
"2019 - 2020",DIV,"Scott County Public Schools","Dual Enrollment enrollment",237,23.77
"2019 - 2020",DIV,"Shenandoah County Public Schools","Advanced Placement Test Taken Preliminary Results",6,.32
"2019 - 2020",DIV,"Shenandoah County Public Schools","Advanced Placement course enrollment",241,12.95
"2019 - 2020",DIV,"Shenandoah County Public Schools","Dual Enrollment enrollment",396,21.28
"2019 - 2020",DIV,"Shenandoah County Public Schools","Governors School enrollment",25,1.34
"2019 - 2020",DIV,"Smyth County Public Schools","Advanced Placement Test Taken Preliminary Results",68,5.21
"2019 - 2020",DIV,"Smyth County Public Schools","Advanced Placement course enrollment",102,7.82
"2019 - 2020",DIV,"Smyth County Public Schools","Dual Enrollment enrollment",324,24.83
"2019 - 2020",DIV,"Smyth County Public Schools","Governors School enrollment",7,.54
"2019 - 2020",DIV,"Southampton County Public Schools","Advanced Placement Test Taken Preliminary Results",20,2.48
"2019 - 2020",DIV,"Southampton County Public Schools","Advanced Placement course enrollment",20,2.48
"2019 - 2020",DIV,"Southampton County Public Schools","Dual Enrollment enrollment",144,17.87
"2019 - 2020",DIV,"Southampton County Public Schools","Governors School enrollment",12,1.49
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",1542,20.27
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Advanced Placement course enrollment",2613,34.34
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Dual Enrollment enrollment",455,5.98
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Governors School enrollment",234,3.08
"2019 - 2020",DIV,"Spotsylvania County Public Schools","IB Course enrollment",35,.46
"2019 - 2020",DIV,"Spotsylvania County Public Schools","Seniors enrolled in IB Program",10,.13
"2019 - 2020",DIV,"Stafford County Public Schools","Advanced Placement Test Taken Preliminary Results",1361,14.04
"2019 - 2020",DIV,"Stafford County Public Schools","Advanced Placement course enrollment",3493,36.03
"2019 - 2020",DIV,"Stafford County Public Schools","Dual Enrollment enrollment",557,5.75
"2019 - 2020",DIV,"Stafford County Public Schools","Governors School enrollment",264,2.72
"2019 - 2020",DIV,"Stafford County Public Schools","IB Course enrollment",673,6.94
"2019 - 2020",DIV,"Staunton City Public Schools","Advanced Placement Test Taken Preliminary Results",76,9.6
"2019 - 2020",DIV,"Staunton City Public Schools","Advanced Placement course enrollment",79,9.97
"2019 - 2020",DIV,"Staunton City Public Schools","Dual Enrollment enrollment",117,14.77
"2019 - 2020",DIV,"Staunton City Public Schools","Governors School enrollment",39,4.92
"2019 - 2020",DIV,"Suffolk City Public Schools","Advanced Placement Test Taken Preliminary Results",219,5.25
"2019 - 2020",DIV,"Suffolk City Public Schools","Advanced Placement course enrollment",279,6.69
"2019 - 2020",DIV,"Suffolk City Public Schools","Dual Enrollment enrollment",176,4.22
"2019 - 2020",DIV,"Suffolk City Public Schools","Governors School enrollment",31,.74
"2019 - 2020",DIV,"Suffolk City Public Schools","IB Course enrollment",72,1.73
"2019 - 2020",DIV,"Suffolk City Public Schools","Seniors enrolled in IB Program",26,.62
"2019 - 2020",DIV,"Surry County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.43
"2019 - 2020",DIV,"Surry County Public Schools","Advanced Placement course enrollment",2,.87
"2019 - 2020",DIV,"Surry County Public Schools","Dual Enrollment enrollment",30,12.99
"2019 - 2020",DIV,"Surry County Public Schools","Governors School enrollment",7,3.03
"2019 - 2020",DIV,"Sussex County Public Schools","Dual Enrollment enrollment",12,3.74
"2019 - 2020",DIV,"Sussex County Public Schools","Governors School enrollment",8,2.49
"2019 - 2020",DIV,"Tazewell County Public Schools","Advanced Placement Test Taken Preliminary Results",43,2.46
"2019 - 2020",DIV,"Tazewell County Public Schools","Advanced Placement course enrollment",160,9.16
"2019 - 2020",DIV,"Tazewell County Public Schools","Dual Enrollment enrollment",253,14.49
"2019 - 2020",DIV,"Virginia Beach City Public Schools","Advanced Placement Test Taken Preliminary Results",4972,23.97
