"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools",Male,5170,708,88,12
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Multiple Races",787,114,87.3,12.7
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Native Hawaiian",16,2,,
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools","Students with Disabilities",1317,260,83.5,16.5
"2018 - 2019",DIV,"Williamsburg-James City County Public Schools",White,6136,590,91.2,8.8
"2018 - 2019",DIV,"Winchester City Public Schools","All Students",3477,677,83.7,16.3
"2018 - 2019",DIV,"Winchester City Public Schools","American Indian",26,2,,
"2018 - 2019",DIV,"Winchester City Public Schools",Asian,77,8,90.6,9.4
"2018 - 2019",DIV,"Winchester City Public Schools",Black,365,109,77,23
"2018 - 2019",DIV,"Winchester City Public Schools","Economically Disadvantaged",2191,530,80.5,19.5
"2018 - 2019",DIV,"Winchester City Public Schools","English Learners",1075,128,89.4,10.6
"2018 - 2019",DIV,"Winchester City Public Schools",Female,1659,323,83.7,16.3
"2018 - 2019",DIV,"Winchester City Public Schools",Hispanic,1348,193,87.5,12.5
"2018 - 2019",DIV,"Winchester City Public Schools",Homeless,90,75,,
"2018 - 2019",DIV,"Winchester City Public Schools",Male,1818,354,83.7,16.3
"2018 - 2019",DIV,"Winchester City Public Schools","Multiple Races",257,82,75.8,24.2
"2018 - 2019",DIV,"Winchester City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Winchester City Public Schools","Students with Disabilities",484,138,77.8,22.2
"2018 - 2019",DIV,"Winchester City Public Schools",White,1401,283,83.2,16.8
"2018 - 2019",DIV,"Wise County Public Schools","All Students",4539,813,84.8,15.2
"2018 - 2019",DIV,"Wise County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Wise County Public Schools",Asian,17,1,94.4,5.6
"2018 - 2019",DIV,"Wise County Public Schools",Black,87,23,79.1,20.9
"2018 - 2019",DIV,"Wise County Public Schools","Economically Disadvantaged",2585,671,79.4,20.6
"2018 - 2019",DIV,"Wise County Public Schools","English Learners",14,5,73.7,26.3
"2018 - 2019",DIV,"Wise County Public Schools",Female,2199,415,84.1,15.9
"2018 - 2019",DIV,"Wise County Public Schools",Hispanic,40,11,78.4,21.6
"2018 - 2019",DIV,"Wise County Public Schools",Homeless,162,53,,
"2018 - 2019",DIV,"Wise County Public Schools",Male,2340,398,85.5,14.5
"2018 - 2019",DIV,"Wise County Public Schools","Multiple Races",71,8,89.9,10.1
"2018 - 2019",DIV,"Wise County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Wise County Public Schools","Students with Disabilities",641,152,80.8,19.2
"2018 - 2019",DIV,"Wise County Public Schools",White,4319,769,84.9,15.1
"2018 - 2019",DIV,"Wythe County Public Schools","All Students",3445,422,89.1,10.9
"2018 - 2019",DIV,"Wythe County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Wythe County Public Schools",Asian,16,0,100,0
"2018 - 2019",DIV,"Wythe County Public Schools",Black,135,26,83.9,16.1
"2018 - 2019",DIV,"Wythe County Public Schools","Economically Disadvantaged",1638,317,83.8,16.2
"2018 - 2019",DIV,"Wythe County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Wythe County Public Schools",Female,1640,183,90,10
"2018 - 2019",DIV,"Wythe County Public Schools",Hispanic,47,9,83.9,16.1
"2018 - 2019",DIV,"Wythe County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Wythe County Public Schools",Male,1805,239,88.3,11.7
"2018 - 2019",DIV,"Wythe County Public Schools","Multiple Races",73,12,85.9,14.1
"2018 - 2019",DIV,"Wythe County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Wythe County Public Schools","Students with Disabilities",431,93,82.3,17.7
"2018 - 2019",DIV,"Wythe County Public Schools",White,3168,375,89.4,10.6
"2018 - 2019",DIV,"York County Public Schools","All Students",11954,808,93.7,6.3
"2018 - 2019",DIV,"York County Public Schools","American Indian",29,1,,
"2018 - 2019",DIV,"York County Public Schools",Asian,747,9,98.8,1.2
"2018 - 2019",DIV,"York County Public Schools",Black,1450,127,91.9,8.1
"2018 - 2019",DIV,"York County Public Schools","Economically Disadvantaged",2380,342,87.4,12.6
"2018 - 2019",DIV,"York County Public Schools","English Learners",571,11,98.1,1.9
"2018 - 2019",DIV,"York County Public Schools",Female,5924,433,93.2,6.8
"2018 - 2019",DIV,"York County Public Schools",Hispanic,1343,81,94.3,5.7
"2018 - 2019",DIV,"York County Public Schools",Homeless,121,53,,
"2018 - 2019",DIV,"York County Public Schools",Male,6030,375,94.1,5.9
"2018 - 2019",DIV,"York County Public Schools","Multiple Races",1180,101,92.1,7.9
"2018 - 2019",DIV,"York County Public Schools","Native Hawaiian",52,1,,
"2018 - 2019",DIV,"York County Public Schools","Students with Disabilities",1256,179,87.5,12.5
"2018 - 2019",DIV,"York County Public Schools",White,7153,488,93.6,6.4
"2020 - 2021",DIV,"Accomack County Public Schools","All Students",3683,1007,78.5,21.5
"2020 - 2021",DIV,"Accomack County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Accomack County Public Schools",Asian,35,1,97.2,2.8
"2020 - 2021",DIV,"Accomack County Public Schools",Black,1321,453,74.5,25.5
"2020 - 2021",DIV,"Accomack County Public Schools","Economically Disadvantaged",1616,598,73,27
"2020 - 2021",DIV,"Accomack County Public Schools","English Learners",680,317,68.2,31.8
"2020 - 2021",DIV,"Accomack County Public Schools",Female,1791,465,79.4,20.6
"2020 - 2021",DIV,"Accomack County Public Schools",Hispanic,787,282,73.6,26.4
"2020 - 2021",DIV,"Accomack County Public Schools",Homeless,126,72,,
"2020 - 2021",DIV,"Accomack County Public Schools",Male,1892,542,77.7,22.3
"2020 - 2021",DIV,"Accomack County Public Schools","Multiple Races",42,23,64.6,35.4
"2020 - 2021",DIV,"Accomack County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Accomack County Public Schools","Students with Disabilities",494,166,74.8,25.2
"2020 - 2021",DIV,"Accomack County Public Schools",White,1491,246,85.8,14.2
"2020 - 2021",DIV,"Albemarle County Public Schools","All Students",12554,712,94.6,5.4
"2020 - 2021",DIV,"Albemarle County Public Schools","American Indian",15,0,,
"2020 - 2021",DIV,"Albemarle County Public Schools",Asian,727,11,98.5,1.5
"2020 - 2021",DIV,"Albemarle County Public Schools",Black,1335,164,89.1,10.9
"2020 - 2021",DIV,"Albemarle County Public Schools","Economically Disadvantaged",4007,546,88,12
"2020 - 2021",DIV,"Albemarle County Public Schools","English Learners",1262,131,90.6,9.4
"2020 - 2021",DIV,"Albemarle County Public Schools",Female,6102,367,94.3,5.7
"2020 - 2021",DIV,"Albemarle County Public Schools",Hispanic,1759,194,90.1,9.9
"2020 - 2021",DIV,"Albemarle County Public Schools",Homeless,80,23,,
"2020 - 2021",DIV,"Albemarle County Public Schools",Male,6452,345,94.9,5.1
"2020 - 2021",DIV,"Albemarle County Public Schools","Multiple Races",822,43,95,5
"2020 - 2021",DIV,"Albemarle County Public Schools","Native Hawaiian",6,5,,
"2020 - 2021",DIV,"Albemarle County Public Schools","Students with Disabilities",1559,135,92,8
"2020 - 2021",DIV,"Albemarle County Public Schools",White,7890,295,96.4,3.6
"2020 - 2021",DIV,"Alexandria City Public Schools","All Students",10298,4867,67.9,32.1
"2020 - 2021",DIV,"Alexandria City Public Schools","American Indian",20,5,,
"2020 - 2021",DIV,"Alexandria City Public Schools",Asian,611,214,74.1,25.9
"2020 - 2021",DIV,"Alexandria City Public Schools",Black,2834,1086,72.3,27.7
"2020 - 2021",DIV,"Alexandria City Public Schools","Economically Disadvantaged",6526,3420,65.6,34.4
"2020 - 2021",DIV,"Alexandria City Public Schools","English Learners",3955,2423,62,38
"2020 - 2021",DIV,"Alexandria City Public Schools",Female,5117,2183,70.1,29.9
"2020 - 2021",DIV,"Alexandria City Public Schools",Hispanic,3477,2188,61.4,38.6
"2020 - 2021",DIV,"Alexandria City Public Schools",Homeless,47,51,,
"2020 - 2021",DIV,"Alexandria City Public Schools",Male,5180,2683,65.9,34.1
"2020 - 2021",DIV,"Alexandria City Public Schools","Multiple Races",358,137,72.3,27.7
"2020 - 2021",DIV,"Alexandria City Public Schools","Native Hawaiian",20,11,,
"2020 - 2021",DIV,"Alexandria City Public Schools","Students with Disabilities",963,618,60.9,39.1
"2020 - 2021",DIV,"Alexandria City Public Schools",White,2978,1226,70.8,29.2
"2020 - 2021",DIV,"Alleghany County Public Schools","All Students",1430,426,77,23
"2020 - 2021",DIV,"Alleghany County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Alleghany County Public Schools",Asian,11,2,84.6,15.4
"2020 - 2021",DIV,"Alleghany County Public Schools",Black,59,26,69.4,30.6
"2020 - 2021",DIV,"Alleghany County Public Schools","Economically Disadvantaged",614,309,66.5,33.5
"2020 - 2021",DIV,"Alleghany County Public Schools","English Learners",14,3,82.4,17.6
"2020 - 2021",DIV,"Alleghany County Public Schools",Female,696,181,79.4,20.6
"2020 - 2021",DIV,"Alleghany County Public Schools",Hispanic,26,8,76.5,23.5
"2020 - 2021",DIV,"Alleghany County Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Alleghany County Public Schools",Male,734,245,75,25
"2020 - 2021",DIV,"Alleghany County Public Schools","Multiple Races",65,22,74.7,25.3
"2020 - 2021",DIV,"Alleghany County Public Schools","Students with Disabilities",189,68,73.5,26.5
"2020 - 2021",DIV,"Alleghany County Public Schools",White,1268,367,77.6,22.4
"2020 - 2021",DIV,"Amelia County Public Schools","All Students",1485,88,94.4,5.6
"2020 - 2021",DIV,"Amelia County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Amelia County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Amelia County Public Schools",Black,287,21,93.2,6.8
"2020 - 2021",DIV,"Amelia County Public Schools","Economically Disadvantaged",680,75,90.1,9.9
"2020 - 2021",DIV,"Amelia County Public Schools","English Learners",54,0,100,0
"2020 - 2021",DIV,"Amelia County Public Schools",Female,722,26,96.5,3.5
"2020 - 2021",DIV,"Amelia County Public Schools",Hispanic,90,6,93.8,6.2
"2020 - 2021",DIV,"Amelia County Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Amelia County Public Schools",Male,763,62,92.5,7.5
"2020 - 2021",DIV,"Amelia County Public Schools","Multiple Races",119,11,91.5,8.5
"2020 - 2021",DIV,"Amelia County Public Schools","Students with Disabilities",191,17,91.8,8.2
"2020 - 2021",DIV,"Amelia County Public Schools",White,986,50,95.2,4.8
"2020 - 2021",DIV,"Amherst County Public Schools","All Students",2923,1022,74.1,25.9
"2020 - 2021",DIV,"Amherst County Public Schools","American Indian",29,11,,
"2020 - 2021",DIV,"Amherst County Public Schools",Asian,12,6,66.7,33.3
"2020 - 2021",DIV,"Amherst County Public Schools",Black,543,189,74.2,25.8
"2020 - 2021",DIV,"Amherst County Public Schools","Economically Disadvantaged",1392,736,65.4,34.6
"2020 - 2021",DIV,"Amherst County Public Schools","English Learners",25,12,67.6,32.4
"2020 - 2021",DIV,"Amherst County Public Schools",Female,1395,504,73.5,26.5
"2020 - 2021",DIV,"Amherst County Public Schools",Hispanic,114,50,69.5,30.5
"2020 - 2021",DIV,"Amherst County Public Schools",Homeless,27,27,,
"2020 - 2021",DIV,"Amherst County Public Schools",Male,1528,518,74.7,25.3
"2020 - 2021",DIV,"Amherst County Public Schools","Multiple Races",259,123,67.8,32.2
"2020 - 2021",DIV,"Amherst County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Amherst County Public Schools","Students with Disabilities",381,162,70.2,29.8
"2020 - 2021",DIV,"Amherst County Public Schools",White,1963,642,75.4,24.6
"2020 - 2021",DIV,"Appomattox County Public Schools","All Students",1570,654,70.6,29.4
"2020 - 2021",DIV,"Appomattox County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Appomattox County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Appomattox County Public Schools",Black,282,189,59.9,40.1
"2020 - 2021",DIV,"Appomattox County Public Schools","Economically Disadvantaged",764,475,61.7,38.3
"2020 - 2021",DIV,"Appomattox County Public Schools","English Learners",15,10,60,40
"2020 - 2021",DIV,"Appomattox County Public Schools",Female,822,283,74.4,25.6
"2020 - 2021",DIV,"Appomattox County Public Schools",Hispanic,48,25,65.8,34.2
"2020 - 2021",DIV,"Appomattox County Public Schools",Homeless,6,6,,
"2020 - 2021",DIV,"Appomattox County Public Schools",Male,748,371,66.8,33.2
"2020 - 2021",DIV,"Appomattox County Public Schools","Multiple Races",133,74,64.3,35.7
"2020 - 2021",DIV,"Appomattox County Public Schools","Students with Disabilities",158,79,66.7,33.3
"2020 - 2021",DIV,"Appomattox County Public Schools",White,1104,365,75.2,24.8
"2020 - 2021",DIV,"Arlington County Public Schools","All Students",24596,1209,95.3,4.7
"2020 - 2021",DIV,"Arlington County Public Schools","American Indian",34,2,,
"2020 - 2021",DIV,"Arlington County Public Schools",Asian,2188,61,97.3,2.7
"2020 - 2021",DIV,"Arlington County Public Schools",Black,2484,182,93.2,6.8
"2020 - 2021",DIV,"Arlington County Public Schools","Economically Disadvantaged",7866,820,90.6,9.4
"2020 - 2021",DIV,"Arlington County Public Schools","English Learners",5776,592,90.7,9.3
"2020 - 2021",DIV,"Arlington County Public Schools",Female,12001,525,95.8,4.2
"2020 - 2021",DIV,"Arlington County Public Schools",Hispanic,6648,736,90,10
"2020 - 2021",DIV,"Arlington County Public Schools",Homeless,99,36,,
"2020 - 2021",DIV,"Arlington County Public Schools",Male,12591,683,94.9,5.1
"2020 - 2021",DIV,"Arlington County Public Schools","Multiple Races",1987,36,98.2,1.8
"2020 - 2021",DIV,"Arlington County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Arlington County Public Schools","Students with Disabilities",3588,342,91.3,8.7
"2020 - 2021",DIV,"Arlington County Public Schools",White,11246,192,98.3,1.7
"2020 - 2021",DIV,"Augusta County Public Schools","All Students",9209,686,93.1,6.9
"2020 - 2021",DIV,"Augusta County Public Schools","American Indian",24,1,,
"2020 - 2021",DIV,"Augusta County Public Schools",Asian,98,3,97,3
"2020 - 2021",DIV,"Augusta County Public Schools",Black,275,32,89.6,10.4
"2020 - 2021",DIV,"Augusta County Public Schools","Economically Disadvantaged",3434,495,87.4,12.6
"2020 - 2021",DIV,"Augusta County Public Schools","English Learners",236,26,90.1,9.9
"2020 - 2021",DIV,"Augusta County Public Schools",Female,4527,311,93.6,6.4
"2020 - 2021",DIV,"Augusta County Public Schools",Hispanic,561,65,89.6,10.4
"2020 - 2021",DIV,"Augusta County Public Schools",Homeless,27,21,,
"2020 - 2021",DIV,"Augusta County Public Schools",Male,4682,375,92.6,7.4
"2020 - 2021",DIV,"Augusta County Public Schools","Multiple Races",394,41,90.6,9.4
"2020 - 2021",DIV,"Augusta County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Augusta County Public Schools","Students with Disabilities",842,133,86.4,13.6
"2020 - 2021",DIV,"Augusta County Public Schools",White,7849,544,93.5,6.5
"2020 - 2021",DIV,"Bath County Public Schools","All Students",454,51,89.9,10.1
"2020 - 2021",DIV,"Bath County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Bath County Public Schools",Black,15,0,100,0
"2020 - 2021",DIV,"Bath County Public Schools","Economically Disadvantaged",272,37,88,12
"2020 - 2021",DIV,"Bath County Public Schools","English Learners",<,<,87.5,12.5
"2020 - 2021",DIV,"Bath County Public Schools",Female,236,23,91.1,8.9
"2020 - 2021",DIV,"Bath County Public Schools",Hispanic,9,1,90,10
"2020 - 2021",DIV,"Bath County Public Schools",Male,218,28,88.6,11.4
"2020 - 2021",DIV,"Bath County Public Schools","Multiple Races",12,3,80,20
"2020 - 2021",DIV,"Bath County Public Schools","Students with Disabilities",65,17,79.3,20.7
"2020 - 2021",DIV,"Bath County Public Schools",White,415,47,89.8,10.2
"2020 - 2021",DIV,"Bedford County Public Schools","All Students",7443,1574,82.5,17.5
"2020 - 2021",DIV,"Bedford County Public Schools","American Indian",18,4,,
"2020 - 2021",DIV,"Bedford County Public Schools",Asian,159,11,93.5,6.5
"2020 - 2021",DIV,"Bedford County Public Schools",Black,573,148,79.5,20.5
"2020 - 2021",DIV,"Bedford County Public Schools","Economically Disadvantaged",2962,987,75,25
"2020 - 2021",DIV,"Bedford County Public Schools","English Learners",157,15,91.3,8.7
"2020 - 2021",DIV,"Bedford County Public Schools",Female,3586,719,83.3,16.7
"2020 - 2021",DIV,"Bedford County Public Schools",Hispanic,324,45,87.8,12.2
"2020 - 2021",DIV,"Bedford County Public Schools",Homeless,26,41,,
"2020 - 2021",DIV,"Bedford County Public Schools",Male,3857,855,81.9,18.1
"2020 - 2021",DIV,"Bedford County Public Schools","Multiple Races",400,82,83,17
"2020 - 2021",DIV,"Bedford County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Bedford County Public Schools","Students with Disabilities",789,234,77.1,22.9
"2020 - 2021",DIV,"Bedford County Public Schools",White,5966,1283,82.3,17.7
"2020 - 2021",DIV,"Bland County Public Schools","All Students",638,25,96.2,3.8
"2020 - 2021",DIV,"Bland County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Bland County Public Schools",Black,<,<,100,0
"2020 - 2021",DIV,"Bland County Public Schools","Economically Disadvantaged",334,19,94.6,5.4
"2020 - 2021",DIV,"Bland County Public Schools","English Learners",<,<,100,0
"2020 - 2021",DIV,"Bland County Public Schools",Female,310,12,96.3,3.7
"2020 - 2021",DIV,"Bland County Public Schools",Hispanic,<,<,100,0
"2020 - 2021",DIV,"Bland County Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Bland County Public Schools",Male,328,13,96.2,3.8
"2020 - 2021",DIV,"Bland County Public Schools","Multiple Races",18,0,100,0
"2020 - 2021",DIV,"Bland County Public Schools","Students with Disabilities",116,6,95.1,4.9
"2020 - 2021",DIV,"Bland County Public Schools",White,607,25,96,4
"2020 - 2021",DIV,"Botetourt County Public Schools","All Students",4048,241,94.4,5.6
"2020 - 2021",DIV,"Botetourt County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Botetourt County Public Schools",Asian,38,3,92.7,7.3
"2020 - 2021",DIV,"Botetourt County Public Schools",Black,80,7,92,8
"2020 - 2021",DIV,"Botetourt County Public Schools","Economically Disadvantaged",1085,141,88.5,11.5
"2020 - 2021",DIV,"Botetourt County Public Schools","English Learners",94,9,91.3,8.7
"2020 - 2021",DIV,"Botetourt County Public Schools",Female,1977,101,95.1,4.9
"2020 - 2021",DIV,"Botetourt County Public Schools",Hispanic,189,18,91.3,8.7
"2020 - 2021",DIV,"Botetourt County Public Schools",Homeless,7,6,,
"2020 - 2021",DIV,"Botetourt County Public Schools",Male,2071,140,93.7,6.3
"2020 - 2021",DIV,"Botetourt County Public Schools","Multiple Races",203,14,93.5,6.5
"2020 - 2021",DIV,"Botetourt County Public Schools","Students with Disabilities",557,64,89.7,10.3
"2020 - 2021",DIV,"Botetourt County Public Schools",White,3532,199,94.7,5.3
"2020 - 2021",DIV,"Bristol City Public Schools","All Students",1581,546,74.3,25.7
"2020 - 2021",DIV,"Bristol City Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Bristol City Public Schools",Asian,24,1,96,4
"2020 - 2021",DIV,"Bristol City Public Schools",Black,103,53,66,34
"2020 - 2021",DIV,"Bristol City Public Schools","Economically Disadvantaged",943,424,69,31
"2020 - 2021",DIV,"Bristol City Public Schools","English Learners",29,7,80.6,19.4
"2020 - 2021",DIV,"Bristol City Public Schools",Female,794,272,74.5,25.5
"2020 - 2021",DIV,"Bristol City Public Schools",Hispanic,65,31,67.7,32.3
"2020 - 2021",DIV,"Bristol City Public Schools",Homeless,43,29,,
"2020 - 2021",DIV,"Bristol City Public Schools",Male,787,274,74.2,25.8
"2020 - 2021",DIV,"Bristol City Public Schools","Multiple Races",141,55,71.9,28.1
"2020 - 2021",DIV,"Bristol City Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Bristol City Public Schools","Students with Disabilities",263,130,66.9,33.1
"2020 - 2021",DIV,"Bristol City Public Schools",White,1246,404,75.5,24.5
"2020 - 2021",DIV,"Brunswick County Public Schools","All Students",1220,192,86.4,13.6
"2020 - 2021",DIV,"Brunswick County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Brunswick County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Brunswick County Public Schools",Black,943,159,85.6,14.4
"2020 - 2021",DIV,"Brunswick County Public Schools","Economically Disadvantaged",919,175,84,16
"2020 - 2021",DIV,"Brunswick County Public Schools","English Learners",27,5,84.4,15.6
"2020 - 2021",DIV,"Brunswick County Public Schools",Female,589,84,87.5,12.5
"2020 - 2021",DIV,"Brunswick County Public Schools",Hispanic,46,9,83.6,16.4
"2020 - 2021",DIV,"Brunswick County Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Brunswick County Public Schools",Male,631,108,85.4,14.6
"2020 - 2021",DIV,"Brunswick County Public Schools","Multiple Races",17,2,89.5,10.5
"2020 - 2021",DIV,"Brunswick County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Brunswick County Public Schools","Students with Disabilities",159,24,86.9,13.1
"2020 - 2021",DIV,"Brunswick County Public Schools",White,200,21,90.5,9.5
"2020 - 2021",DIV,"Buchanan County Public Schools","All Students",1668,736,69.4,30.6
"2020 - 2021",DIV,"Buchanan County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Buchanan County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Buchanan County Public Schools",Black,<,<,55.6,44.4
"2020 - 2021",DIV,"Buchanan County Public Schools","Economically Disadvantaged",784,461,63,37
"2020 - 2021",DIV,"Buchanan County Public Schools","English Learners",<,<,100,0
"2020 - 2021",DIV,"Buchanan County Public Schools",Female,826,323,71.9,28.1
"2020 - 2021",DIV,"Buchanan County Public Schools",Hispanic,9,8,52.9,47.1
"2020 - 2021",DIV,"Buchanan County Public Schools",Male,842,413,67.1,32.9
"2020 - 2021",DIV,"Buchanan County Public Schools","Multiple Races",8,5,61.5,38.5
"2020 - 2021",DIV,"Buchanan County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Buchanan County Public Schools","Students with Disabilities",259,165,61.1,38.9
"2020 - 2021",DIV,"Buchanan County Public Schools",White,1639,719,69.5,30.5
"2020 - 2021",DIV,"Buckingham County Public Schools","All Students",1831,56,97,3
"2020 - 2021",DIV,"Buckingham County Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Buckingham County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Buckingham County Public Schools",Black,652,22,96.7,3.3
"2020 - 2021",DIV,"Buckingham County Public Schools","Economically Disadvantaged",331,16,95.4,4.6
"2020 - 2021",DIV,"Buckingham County Public Schools","English Learners",30,0,100,0
"2020 - 2021",DIV,"Buckingham County Public Schools",Female,891,28,97,3
"2020 - 2021",DIV,"Buckingham County Public Schools",Hispanic,80,4,95.2,4.8
"2020 - 2021",DIV,"Buckingham County Public Schools",Homeless,35,2,,
"2020 - 2021",DIV,"Buckingham County Public Schools",Male,940,28,97.1,2.9
"2020 - 2021",DIV,"Buckingham County Public Schools","Multiple Races",151,10,93.8,6.2
"2020 - 2021",DIV,"Buckingham County Public Schools","Students with Disabilities",255,13,95.1,4.9
"2020 - 2021",DIV,"Buckingham County Public Schools",White,943,20,97.9,2.1
"2020 - 2021",DIV,"Buena Vista City Public Schools","All Students",715,163,81.4,18.6
"2020 - 2021",DIV,"Buena Vista City Public Schools","American Indian",<,<,,
"2020 - 2021",DIV,"Buena Vista City Public Schools",Black,39,8,83,17
"2020 - 2021",DIV,"Buena Vista City Public Schools","Economically Disadvantaged",310,91,77.3,22.7
"2020 - 2021",DIV,"Buena Vista City Public Schools","English Learners",<,<,50,50
"2020 - 2021",DIV,"Buena Vista City Public Schools",Female,319,76,80.8,19.2
"2020 - 2021",DIV,"Buena Vista City Public Schools",Hispanic,13,11,54.2,45.8
"2020 - 2021",DIV,"Buena Vista City Public Schools",Homeless,<,<,,
"2020 - 2021",DIV,"Buena Vista City Public Schools",Male,396,87,82,18
"2020 - 2021",DIV,"Buena Vista City Public Schools","Multiple Races",32,11,74.4,25.6
"2020 - 2021",DIV,"Buena Vista City Public Schools","Students with Disabilities",128,40,76.2,23.8
"2020 - 2021",DIV,"Buena Vista City Public Schools",White,624,132,82.5,17.5
"2020 - 2021",DIV,"Campbell County Public Schools","All Students",7069,468,93.8,6.2
"2020 - 2021",DIV,"Campbell County Public Schools","American Indian",31,1,,
"2020 - 2021",DIV,"Campbell County Public Schools",Asian,101,3,97.1,2.9
"2020 - 2021",DIV,"Campbell County Public Schools",Black,1116,83,93.1,6.9
"2020 - 2021",DIV,"Campbell County Public Schools","Economically Disadvantaged",3150,354,89.9,10.1
"2020 - 2021",DIV,"Campbell County Public Schools","English Learners",260,25,91.2,8.8
"2020 - 2021",DIV,"Campbell County Public Schools",Female,3452,221,94,6
"2020 - 2021",DIV,"Campbell County Public Schools",Hispanic,363,42,89.6,10.4
"2020 - 2021",DIV,"Campbell County Public Schools",Homeless,14,4,,
"2020 - 2021",DIV,"Campbell County Public Schools",Male,3617,247,93.6,6.4
"2020 - 2021",DIV,"Campbell County Public Schools","Multiple Races",447,37,92.4,7.6
"2020 - 2021",DIV,"Campbell County Public Schools","Native Hawaiian",11,1,,
"2020 - 2021",DIV,"Campbell County Public Schools","Students with Disabilities",865,92,90.4,9.6
"2020 - 2021",DIV,"Campbell County Public Schools",White,5000,301,94.3,5.7
"2020 - 2021",DIV,"Caroline County Public Schools","All Students",3243,812,80,20
"2020 - 2021",DIV,"Caroline County Public Schools","American Indian",13,4,,
"2020 - 2021",DIV,"Caroline County Public Schools",Asian,27,5,84.4,15.6
"2020 - 2021",DIV,"Caroline County Public Schools",Black,842,225,78.9,21.1
"2020 - 2021",DIV,"Caroline County Public Schools","Economically Disadvantaged",1325,590,69.2,30.8
"2020 - 2021",DIV,"Caroline County Public Schools","English Learners",122,14,89.7,10.3
"2020 - 2021",DIV,"Caroline County Public Schools",Female,1586,375,80.9,19.1
"2020 - 2021",DIV,"Caroline County Public Schools",Hispanic,341,96,78,22
"2020 - 2021",DIV,"Caroline County Public Schools",Homeless,16,17,,
"2020 - 2021",DIV,"Caroline County Public Schools",Male,1657,437,79.1,20.9
"2020 - 2021",DIV,"Caroline County Public Schools","Multiple Races",295,120,71.1,28.9
"2020 - 2021",DIV,"Caroline County Public Schools","Native Hawaiian",<,<,,
"2020 - 2021",DIV,"Caroline County Public Schools","Students with Disabilities",369,121,75.3,24.7
"2020 - 2021",DIV,"Caroline County Public Schools",White,1723,361,82.7,17.3
"2020 - 2021",DIV,"Carroll County Public Schools","All Students",2984,394,88.3,11.7
"2020 - 2021",DIV,"Carroll County Public Schools","American Indian",10,0,,
"2020 - 2021",DIV,"Carroll County Public Schools",Asian,<,<,100,0
"2020 - 2021",DIV,"Carroll County Public Schools",Black,18,4,81.8,18.2
"2020 - 2021",DIV,"Carroll County Public Schools","Economically Disadvantaged",1898,321,85.5,14.5
"2020 - 2021",DIV,"Carroll County Public Schools","English Learners",168,16,91.3,8.7
"2020 - 2021",DIV,"Carroll County Public Schools",Female,1460,179,89.1,10.9
"2020 - 2021",DIV,"Carroll County Public Schools",Hispanic,186,24,88.6,11.4
"2020 - 2021",DIV,"Carroll County Public Schools",Homeless,12,7,,
"2020 - 2021",DIV,"Carroll County Public Schools",Male,1524,215,87.6,12.4
